Date Posted,Value Date,Cheque Number,Description,Amount,Balance
15 MAY,B/F Balance,,,,"10,053.38"
16 MAY,16 MAY,,POB IBFT BN-20240516-09135098 IBTW 024137135098,"7,010.00DR","3,043.38"
20 MAY,20 MAY,,053110003350 9 IBTD 568068568068,"4,138.39","7,181.77"
20 MAY,20 MAY,,POB IBFT BN-20240518-09886597 IBTW 024139886597,"5,010.00DR","2,171.77"
27 MAY,27 MAY,, 102440020794 9 IBTD 515549515549,"7,996.00","10,167.77"
27 MAY,27 MAY,,BDO Credit DBBP BP13005567,"1,000.00DR","9,167.77"
27 MAY,27 MAY,,BDO Credit DBBP BP13005676,500.00DR,"8,667.77"
27 MAY,27 MAY,,POB IBFT BN-20240527-1344432 IBTW 02414980440,"3,010.00DR","5,657.77"
27 MAY,27 MAY,,00001029172818 9 IBTD 920396920396,"5,000.00","10,657.77"
28 MAY,28 MAY,,POB IBFT BN-20240528-13890440 IBTW 02414980440,"5,010.00DR","5,647.77"
29 MAY,29 MAY,,00001029172818 9 IBTD 487052487052,"1,500.00","7,147.77"
29 MAY,29 MAY,,FT SA-CA DIGIT POP DBFT 024150489609,"1,000.00","8,147.77"
29 MAY,29 MAY,,PC-NBDB02-20240529-14491015 DBFT 024150491015,"7,000.00DR","1,147.77"
