Date Posted,Value Date,Cheque Number,Description,Amount,Balance
15 MAY,B/F Balance,,,,"10,053.38"
16 MAY,16 MAY,,POB IBFT BN-20240516-09135098 IBWT 02417315098,"7,010.00DR","3,043.38"
20 MAY,20 MAY,,053110003350 9 IBTD 56080568068,"4,138.39","7,181.77"
20 MAY,20 MAY,,POB IBFT BN-20240518-09886597 IBWT 02413986597,"5,010.00DR","2,171.77"
27 MAY,27 MAY,,102440200794 9 IBTD 515549515549,"7,996.00","10,167.77"
27 MAY,27 MAY,,BDO 1 DBTD BP1300567,"1,000.00DR","9,167.77"
27 MAY,27 MAY,,BDO Credit 13 DBBP BP13005676,500.00DR,"8,667.77"
27 MAY,27 MAY,,"3,010.00DR","5,657.77",
27 MAY,27 MAY,,POB IBFT BN-20240527-13444432 IBWT 02418444432 00001092172818 9 IBTD 920396920396,"3,010.00DR","5,647.77"
28 MAY,28 MAY,,POB IBFT BN-20240528-13890440 IBWT 02418490440 00001092172818 9 IBTD 487052480752,"5,010.00DR",647.77
29 MAY,29 MAY,,FT SA-CA DIGIFT POB DBFT 024150489609,"1,500.00","7,147.77"
29 MAY,29 MAY,,PC-NDBMOB-20240529-14491015 DBFT 024150491015,"1,000.00","8,147.77"
29 MAY,29 MAY,,"7,000.00DR","1,147.77","1,147.77"
