Date Posted,Value Date,Cheque Number,Description,Amount,Balance
,B/F Balance,,,,"27,584.38"
02 MAR,02 MAR,,Internet Bill,75.99DR,"27,508.39"
05 MAR,05 MAR,,Electric Bill,253.68DR,"27,254.71"
06 MAR,06 MAR,,Check No. 4598 Payment from Lisa Williams,456.84,"27,711.55"
10 MAR,10 MAR,,Deposit from Credit Card Processor,"5,891.26","33,602.81"
12 MAR,12 MAR,,Payroll Run,"3,894.75DR","29,708.06"
16 MAR,16 MAR,,Debit Transaction Main Office Wholesale,243.46DR,"29,464.60"
21 MAR,21 MAR,,Rent Bill,750.00DR,"28,714.60"
21 MAR,21 MAR,,Check No. 234 Payment from Mark Moore,268.84,"28,983.44"
26 MAR,26 MAR,,Payroll Run,"3,743.23DR","25,240.21"
28 MAR,28 MAR,,Deposit,"3,656.45","28,896.66"
29 MAR,29 MAR,,Debit Transaction ABC Business Supplies,"1,548.96DR","27,347.70"
